journal_short_name,year,mean_alignment,median_alignment,std_alignment,min_alignment,max_alignment,n_papers
eswa,2015,0.15463933953368622,0.14217571169137955,0.0995310793959811,-0.024028146639466286,0.42589759826660156,72
eswa,2016,0.15629913493552627,0.1521131917834282,0.07590688119839768,-0.008504340425133705,0.3706835210323334,68
eswa,2017,0.1301101260066319,0.12350558489561081,0.08734857702001832,-0.03251420706510544,0.33878493309020996,104
eswa,2018,0.1359545552045444,0.12206554785370827,0.09431837309911115,-0.07275356352329254,0.5108228325843811,376
eswa,2019,0.13751733721713127,0.12892520427703857,0.08985907429468344,-0.05719594657421112,0.4876774549484253,721
eswa,2020,0.11998700054656518,0.11256749555468559,0.08466198492840989,-0.09784319996833801,0.45164161920547485,950
eswa,2021,0.10834032210816698,0.10113833844661713,0.08427679522591623,-0.09202994406223297,0.5607534646987915,697
eswa,2022,0.09487463675431115,0.08580433204770088,0.074842099094316,-0.04559861123561859,0.3284638524055481,226
eswa,2023,0.10314982238092593,0.09546729922294617,0.0881280447682863,-0.07114693522453308,0.3867246210575104,70
eswa,2024,0.09778221574826883,0.08844821527600288,0.09079096581805325,-0.07890225201845169,0.422262042760849,52
eswa,2025,0.06086236939137412,0.05860985070466995,0.06669790078966324,-0.09594812244176865,0.3032870292663574,129
kbs,2015,0.12900856110666478,0.12609124183654785,0.09561693311577588,-0.03808603435754776,0.42857250571250916,35
kbs,2016,0.16706301019910505,0.15171514451503754,0.11205469159657507,-0.04320275038480759,0.5400031208992004,51
kbs,2017,0.13346341519870542,0.11862453818321228,0.08159235790589336,-0.029025211930274963,0.34815359115600586,55
kbs,2018,0.1298480418256738,0.11571327969431877,0.0962330920703364,-0.09450778365135193,0.4486767649650574,220
kbs,2019,0.10958285359201196,0.10514222085475922,0.08699725657552322,-0.1291041374206543,0.42901936173439026,421
kbs,2020,0.10557051775693517,0.09866402298212051,0.0909002249628425,-0.10625915229320526,0.5041590929031372,772
kbs,2021,0.09808522944362197,0.09097258001565933,0.09399003234845558,-0.13095200061798096,0.45264333486557007,395
kbs,2022,0.09743798998269168,0.07830580323934555,0.10074094671114268,-0.10157012194395065,0.39287063479423523,88
kbs,2023,0.0736200649321812,0.06375669315457344,0.08358642862021205,-0.11219216138124466,0.3592529892921448,122
kbs,2024,0.10453971292774536,0.1006426066160202,0.09872913974700318,-0.07096163183450699,0.4862522482872009,76
kbs,2025,0.07163862795145674,0.050616879016160965,0.09330432276581554,-0.11545492708683014,0.38570457696914673,88
