topic,n_papers,mean_alignment,median_alignment,min_alignment,max_alignment
8,65,0.25881435914108386,0.2430830746889114,-0.0063647199422121,0.5041590929031372
4,324,0.19514039534224584,0.19039463996887204,-0.0741912722587585,0.5108228325843811
5,138,0.16089247447856955,0.1566217094659805,-0.097843199968338,0.4146907031536102
1,655,0.13187846623730792,0.1232785433530807,-0.1309520006179809,0.4862522482872009
3,533,0.12683223953687253,0.1237669736146926,-0.1027750372886657,0.4774784445762634
6,82,0.1102446758574465,0.10697533562779425,-0.0168150626122951,0.3098686337471008
0,2195,0.08887773553876878,0.0843220874667167,-0.1291041374206543,0.4516416192054748
2,581,0.08330148863790492,0.0781036764383316,-0.1062591522932052,0.3741483986377716
7,68,0.08272496956017085,0.08037944510579105,-0.064161792397499,0.2515903115272522
